SMZ,State,Percent TEA,Percent PFA,Old METRO,New METRO,Balt METRO,New Balt,Existing Light Rail,New Light Rail,Existing Commuter Rail,New Commuter Rail,New Interchanges,Accessibility,Town,Town_adjacent
249,24,0,99.99999983,0,0,0,0,0,0,0,0,0,510.691856,0,0
250,24,0,75.50438285,0,0,0,0,0,0,0,0,0,847.161127,0,0
251,24,0,86.64903043,0,0,0,0,0,0,0,0,0,0,0,0
252,24,0,99.99999936,0,0,0,0,0,0,0,0,0,1255.347116,0,0
253,24,0,100,0,0,0,0,1,1,0,0,0,8281.238187,0,0
254,24,0,100.0000009,0,0,0,0,0,1,0,0,0,925.397171,0,0
255,24,0,85.2279046,0,0,0,0,1,0,0,0,1,1413.582627,0,0
256,24,0,99.99999884,0,0,0,0,1,0,0,0,0,3572.573732,0,0
257,24,0,100.0000013,0,0,0,0,0,0,0,0,0,1488.150002,0,0
258,24,0,89.38942229,0,0,0,0,0,0,0,0,0,10.635222,0,0
259,24,0,99.99999957,0,0,0,0,0,0,0,0,0,20.989379,0,0
260,24,0,100.0000021,0,0,0,0,0,0,0,0,0,837.321471,0,0
261,24,0,99.99999781,0,0,0,0,1,0,0,0,0,19176.61486,0,0
262,24,0,38.80636027,0,0,0,0,0,0,0,0,0,0,0,0
263,24,0,42.20426129,0,0,0,0,0,0,0,0,0,23.618058,0,0
264,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,24,0,0.040222925,0,0,0,0,0,0,0,0,1,0,0,0
266,24,0.438220104,0.000665685,0,0,0,0,0,0,0,0,0,0,0,0
267,24,88.9643978,1.983293255,0,0,0,0,0,0,0,0,0,0,0,0
268,24,73.43546422,0.087194589,0,0,0,0,0,0,0,0,0,0,0,0
269,24,0,100.0000002,0,0,0,0,0,0,0,0,0,60.727059,0,0
270,24,0.233767356,88.11851334,0,0,0,0,0,0,0,0,0,0,0,0
271,24,0,100.0000023,0,0,0,0,0,0,0,0,0,30.43276,0,0
272,24,3.02449882,100.0000006,0,0,0,0,0,0,0,0,1,2.932608,0,0
273,24,4.538601305,100.0000007,0,0,0,0,0,0,0,0,1,0,0,0
274,24,92.92767261,30.48047104,0,0,0,0,0,0,0,0,1,0,0,0
275,24,0,99.99999883,0,0,0,0,0,0,0,0,0,1.49291,0,0
276,24,0,100.0000001,0,0,0,0,0,0,0,0,0,0,0,0
277,24,0,99.99999999,0,0,0,0,0,0,0,0,0,12.809835,0,0
278,24,0,99.99847436,0,0,0,0,0,0,0,0,0,53.752239,0,0
279,24,0,99.99586987,0,0,1,0,0,0,0,0,0,600.504579,0,0
280,24,0,100.0000007,0,0,0,0,0,0,0,0,0,22.962174,0,0
281,24,0,100.000003,0,0,0,0,0,0,0,0,0,1.769114,0,0
282,24,0,100.0000006,0,0,0,0,1,0,0,0,0,170.809085,0,0
283,24,0,10.17780537,0,0,0,0,0,0,0,0,0,0,0,0
284,24,0,52.00181942,0,0,0,0,0,0,0,0,0,3.749444,0,0
285,24,0,99.99999952,0,0,0,0,0,0,0,0,0,0.953409,0,0
286,24,0,0.042021427,0,0,0,0,0,0,0,0,0,0.002217,0,0
287,24,0,43.54591453,0,0,0,0,0,0,0,0,0,0,0,0
288,24,0,99.99999922,0,0,0,0,0,0,0,0,0,0,0,0
289,24,0,98.59934098,0,0,0,0,1,0,0,0,0,189.91517,0,0
290,24,0,99.99999974,0,0,0,0,1,0,0,0,0,1503.107673,0,0
291,24,0,73.06080257,0,0,0,0,0,0,0,0,0,0,0,0
292,24,0,99.99999908,0,0,0,0,0,0,0,0,0,313.717062,0,0
293,24,0,100.0000017,0,0,0,0,0,0,0,0,0,100.321935,0,0
294,24,0,100.0000016,0,0,0,0,0,1,0,0,0,59.35213,0,0
295,24,0,99.99999911,0,0,0,0,0,1,0,0,0,38.742827,0,0
296,24,0,99.99999967,0,0,0,0,0,0,0,0,0,10.027658,0,0
297,24,0,99.99999838,0,0,0,0,0,1,0,0,0,292.537632,0,0
298,24,0,99.99999988,0,0,0,0,0,1,0,0,0,237.063168,0,0
299,24,0,99.99999814,0,0,0,0,0,1,0,0,0,170.217278,0,0
300,24,0,99.99999991,0,0,0,0,0,0,0,0,0,6.20458,0,0
301,24,0,99.99999854,0,0,0,0,0,0,0,0,0,34.354884,0,0
302,24,0,100.0000018,0,0,0,0,0,0,0,0,0,31.88244,0,0
303,24,0,99.99999707,0,0,0,0,0,0,0,0,0,35.616422,0,0
304,24,0,100.0000017,0,0,0,0,0,0,0,0,0,9.448934,0,0
305,24,0,99.99999931,0,0,0,0,0,0,0,0,0,26.567321,0,0
306,24,0,100.0000008,0,0,0,1,0,0,0,0,0,11.735966,0,0
307,24,0,100.0000017,0,0,0,1,0,0,0,0,0,3.440437,0,0
308,24,0,99.94968349,0,0,0,0,0,0,0,0,0,0,0,0
309,24,0,99.99999898,0,0,0,0,0,0,0,0,0,7.290655,0,0
310,24,0,99.99999964,0,0,0,0,0,0,0,0,0,19.28547,0,0
311,24,0,100.0000007,0,0,0,0,0,0,0,0,0,37.724111,0,0
312,24,0,98.42599144,0,0,0,0,0,0,0,0,1,0,0,0
313,24,0,100.0000002,0,0,0,0,0,0,0,0,0,0,0,0
314,24,0,91.46404365,0,0,0,0,0,0,0,0,0,0,0,0
315,24,0,99.99999992,0,0,0,0,0,0,0,0,0,3.717657,0,0
316,24,0,99.99999936,0,0,0,1,0,0,0,0,0,0,0,0
317,24,0,58.145145,0,0,0,0,0,0,0,0,1,0,0,0
318,24,0,76.59146738,0,0,0,0,0,0,0,0,0,0,0,0
319,24,0,96.98069064,0,0,0,0,0,0,0,0,0,0,0,0
320,24,0,82.95761232,0,0,0,0,0,0,0,0,0,0,0,0
321,24,0,100.0000004,0,0,0,0,0,0,0,0,0,4.155114,0,0
322,24,0,100.0000015,0,0,0,0,0,0,0,0,0,7.50951,0,0
323,24,0,99.99999944,0,0,0,0,0,0,0,0,0,3.455228,0,0
324,24,0,99.99999865,0,0,0,1,0,0,0,0,0,11.35479,0,0
325,24,0,99.99999947,0,0,0,1,0,0,0,0,0,371.859598,0,0
326,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0
327,24,0,0.47576776,0,0,0,0,0,0,0,0,1,0,0,0
328,24,0,99.98886675,0,0,0,0,0,0,0,0,0,502.081114,0,0
329,24,0,100.0000004,0,0,0,0,0,0,0,0,0,19.442611,0,0
330,24,0.255678787,98.92728802,0,0,0,0,0,0,0,0,0,6.136063,0,0
331,24,0,100.0000009,0,0,0,0,0,0,0,0,0,10.550472,0,0
332,24,0,99.99999979,0,0,0,0,0,0,0,0,0,26.110057,0,0
333,24,0,100.0000009,0,0,1,0,0,0,0,0,0,668.39801,0,0
