"","inf.cap","access.beta","operating.cost","dist.to.wrk","val.of.access","tr.times","policy","core.hh","inner.hh","outer.hh","beyond.hh","env.area.hh","high.access.hh","cost.burdened.hh","median.hh.price"
"58",0.546175500469748,0.223195798214991,0.230480832554167,0.201329681998352,0.0798030554661527,0,"baseline",815213,2400268,597944,1895586,359658,286368,1164949,702
"59",0.398395822223276,0.44735673125321,0.148687840871047,0.0846701433949638,0.422187634985195,1,"baseline",867632,2394775,573911,1846687,349990,307391,1162146,712
"60",0.125401582688792,0.0075777107346803,0.511417078131344,0.94805237073754,0.246599053991027,0,"baseline",832339,2325376,630966,1928697,359859,291321,1182087,697
"61",0.622363339714007,0.438902212494751,0.844854126902763,0.747337523185415,0.145942000612151,1,"baseline",850443,2407756,598749,1858823,357024,299432,1171656,709
"62",0.388071430944139,0.862705255069304,0.741259435548214,0.150182696717093,0.111088043490425,1,"baseline",858785,2393915,575998,1849257,350102,302958,1159911,715
"63",0.402361607242841,0.443663071847055,0.698728794954717,0.209085965498351,0.374112633537501,0,"baseline",825463,2389668,599639,1894806,357881,290910,1170082,707
"64",0.446180393558927,0.258566104242112,0.774689291423187,0.887000826109434,0.19605998329306,0,"baseline",825308,2351335,625912,1921304,362531,289887,1178084,687
"65",0.711992817225866,0.943482289616717,0.0229520134988707,0.840150114432909,0.928957865142031,1,"baseline",863949,2406257,601815,1850811,357349,307074,1177216,715
"66",0.206395247831475,0.688814986259211,0.762357756750658,0.7759816684213,0.727067151222145,1,"baseline",871981,2375777,602719,1859983,352947,308195,1179564,714
"67",0.265285551915644,0.777431196956895,0.94178221776709,0.348069003705168,0.604849005533382,1,"baseline",873205,2383700,583599,1843474,350087,309064,1168610,723
"68",0.471915141913574,0.355778782473877,0.0967829183354042,0.511237442945829,0.048212280632928,0,"baseline",823619,2374216,612348,1907064,361451,289233,1176080,702
"69",0.00868974104057997,0.997320717899594,0.310686640372733,0.762727707232814,0.349583401346812,1,"baseline",865137,2362371,602764,1869947,351980,303760,1178387,719
"70",0.156172315011499,0.714838211933617,0.49106526888581,0.641963247221429,0.946712020532927,0,"baseline",845993,2343126,620352,1907565,359059,299112,1183172,716
"71",0.944530615227763,0.0996904097325169,0.462480103688547,0.563529125155183,0.46341534727742,1,"baseline",859801,2439982,584844,1834667,357167,305024,1165656,713
"72",0.785863060113275,0.434892975686584,0.739077325412072,0.275701330137439,0.687846681393916,0,"baseline",828107,2409712,600019,1883829,361924,294053,1171378,710
"73",0.853778849567752,0.6493792485788,0.317354430805892,0.835492121779593,0.110057339573745,1,"baseline",843444,2418195,599934,1860105,359793,297640,1170086,714
"74",0.110745533752488,0.335163979384815,0.499043260382954,0.918508567810524,0.603927697762614,0,"baseline",840215,2324935,629960,1927277,360352,295056,1185167,701
"75",0.712402445129119,0.345018709437456,0.351967571690446,0.195830018765992,0.818007408833364,0,"baseline",830869,2410459,597299,1880678,360386,295541,1171342,708
"76",0.165411322965752,0.803843497222988,0.221089066002751,0.651699652106036,0.64203635997721,1,"baseline",872786,2375429,596757,1857349,351649,308218,1175474,717
"77",0.142821261751931,0.674741220275639,0.920690672383644,0.498623960559955,0.989560648336774,0,"baseline",847132,2350962,615076,1902674,357392,299855,1182861,716
"78",0.306493714106036,0.242833847510628,0.164460690159351,0.927707382489694,0.00549061595206149,0,"baseline",821961,2338881,628714,1928327,361472,287829,1177182,683
"79",0.927037504025502,0.702640931551112,0.95359246217669,0.605139470247319,0.679349394534249,1,"baseline",860146,2435481,588541,1835922,357102,305788,1170909,710
"80",0.658367151308805,0.577349425910506,0.753368586791446,0.346919740109937,0.0557598450127989,1,"baseline",852249,2416324,580223,1842381,353974,300550,1156365,720
"81",0.595244373262627,0.527162226027111,0.452972930828109,0.0451144807473756,0.239070648988942,0,"baseline",813393,2411116,593809,1889911,358476,286334,1165462,706
"82",0.38300981653342,0.973856255912455,0.445338370080339,0.684490710697137,0.113571995319333,1,"baseline",852979,2393381,595672,1860939,354246,300398,1172206,715
